!PHY-RST!, 64.80, 31.56, 0.00, TESPOINT-SMD1.5MM, TESTPOINT-1.5MM
3V3, 32.15, 43.00, 0.00, TESPOINT-SMD1.5MM, TESTPOINT-1.5MM
3V3-FEM, 25.70, 19.40, 0.00, TESPOINT-SMD1.5MM, TESTPOINT-1.5MM
3V3-RF, 43.00, 28.20, 0.00, TESPOINT-SMD1.5MM, TESTPOINT-1.5MM
ANT-SEL, 21.10, 22.60, 0.00, TESPOINT-SMD1.5MM, TESTPOINT-1.5MM
BTN1, 60.95, 55.35, 0.00, TESPOINT-SMD1.5MM, TESTPOINT-1.5MM
C601, 81.50, 33.70, 0.00, 1uF, C0603
C602, 76.50, 33.50, 0.00, 100nF, C0603
ESP-!BOOT!, 68.10, 16.50, 0.00, TESPOINT-SMD1.5MM, TESTPOINT-1.5MM
ESP-!RST!, 72.10, 18.70, 0.00, TESPOINT-SMD1.5MM, TESTPOINT-1.5MM
ESP-RXI, 83.00, 18.90, 0.00, TESPOINT-SMD1.5MM, TESTPOINT-1.5MM
ESP-TXO, 80.50, 18.90, 0.00, TESPOINT-SMD1.5MM, TESTPOINT-1.5MM
ESP-VCC, 81.90, 39.20, 0.00, TESPOINT-SMD1.5MM, TESTPOINT-1.5MM
GND, 77.10, 19.00, 0.00, TESPOINT-SMD1.5MM, TESTPOINT-1.5MM
GND1, 27.00, 23.80, 0.00, TESPOINT-SMD1.5MM, TESTPOINT-1.5MM
GND2, 24.70, 44.50, 0.00, TESPOINT-SMD1.5MM, TESTPOINT-1.5MM
J501, 21.50, 56.00, 180.00, U254-051N-4BH806, USB_MICRO_3
PHY-TEST, 55.70, 46.00, 0.00, TESPOINT-SMD1.5MM, TESTPOINT-1.5MM
PPS, 62.30, 26.10, 0.00, TESPOINT-SMD1.5MM, TESTPOINT-1.5MM
Q601, 65.50, 16.20, 180.00, MMBT2222A, SOT23-WIDE
Q602, 68.30, 20.90, 90.00, MMBT2222A, SOT23-WIDE
R601, 64.90, 21.70, 180.00, 1K, R0603
R602, 64.90, 19.90, 0.00, 1K, R0603
REG-EN, 28.70, 15.40, 0.00, TESPOINT-SMD1.5MM, TESTPOINT-1.5MM
SJ501, 23.30, 49.90, 270.00, JUMPER2-NC-0603, JUMPER2-0603_NC
SJ502, 23.30, 51.80, 270.00, JUMPER2-NC-0603, JUMPER2-0603_NC
SX-!CS!, 58.10, 18.70, 0.00, TESPOINT-SMD1.5MM, TESTPOINT-1.5MM
SX-!RST!, 65.54, 23.37, 0.00, TESPOINT-SMD1.5MM, TESTPOINT-1.5MM
SX-CLK, 62.30, 22.70, 0.00, TESPOINT-SMD1.5MM, TESTPOINT-1.5MM
SX-MISO, 61.60, 19.00, 0.00, TESPOINT-SMD1.5MM, TESTPOINT-1.5MM
SX-MOSI, 59.90, 21.20, 0.00, TESPOINT-SMD1.5MM, TESTPOINT-1.5MM
SX-VCC-CORE, 52.65, 16.95, 0.00, TESPOINT-SMD1.5MM, TESTPOINT-1.5MM
U601, 79.00, 27.50, 0.00, CH340C-SOIC, SOIC127P600X175-16
USB-DN, 23.10, 48.10, 0.00, TESPOINT-SMD1.5MM, TESTPOINT-1.5MM
USB-DP, 23.00, 53.60, 0.00, TESPOINT-SMD1.5MM, TESTPOINT-1.5MM
VCC, 29.50, 46.50, 0.00, TESPOINT-SMD1.5MM, TESTPOINT-1.5MM
